,Unnamed: 0,Unnamed: 0.1,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat
0,0,0,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,0,0,0,599,4.2,"14,526",46,"Thursday, February 10",1,"14,526",https://m.media-amazon.com/images/I/81XEPquUw3L._AC_UL320_.jpg,Wall clock
1,1,1,B07454M93T,"Amazon Brand - Solimo Wood Abstract 12"" Silent Movement Wall Clock (Sheer Black Frame)",Amazon,0,0,0,636,4.0,"2,516",47,"Tuesday, February 15",1,"2,516",https://m.media-amazon.com/images/I/81iUk1N-1lL._AC_UL320_.jpg,Wall clock
2,2,2,B076VCK58B,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Coloured Stripes (Step Movement, Black Frame)",Amazon,1,0,0,599,4.2,816,40,"Thursday, February 10",1,816,https://m.media-amazon.com/images/I/81MKnAhosLL._SY355_.jpg,Wall clock
3,3,3,B082DRZ3PD,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Victorian Bliss (Silent Movement), Black",Amazon,1,0,0,639,3.9,"1,958",57,,1,"1,958",https://m.media-amazon.com/images/I/81Lv4srIp1L._AC_UL320_.jpg,Wall clock
4,4,4,B01N6OOW52,"Ajanta Abstract Metal Quartz Wall Clock (32 cm x 32 cm x 3.5 cm, White)",Ajanta,0,0,1,489,4.3,"41,963",0,"Thursday, February 10",0,"41,963",https://m.media-amazon.com/images/I/71qUOeD+iRS._AC_UL320_.jpg,Wall clock
5,5,5,B00PXJWJJI,Ajanta AQ-2147 Quartz Glass Abstract Blue Office Clock (214 x 44 x 215 mm ),Ajanta,0,0,0,175,3.9,"33,359",0,"Monday, February 14",0,"33,359",https://m.media-amazon.com/images/I/71sMxD+-fGL._AC_UL320_.jpg,Wall clock
6,6,6,B01MS642JN,"Ajanta Abstract Plastic Round Wall Clock (20.5 cm x 20.5 cm x 3.5 cm, Pink)",Ajanta,0,0,0,175,3.9,"5,275",0,"Saturday, February 12",0,"5,275",https://m.media-amazon.com/images/I/71a6FYtpLvL._AC_UL320_.jpg,Wall clock
7,7,7,B01GTX6I3E,"Ajanta Plastic Quartz Abstract Wall Clock (Gold, 32 cm x 32 cm x 3.5 cm)",Ajanta,0,0,0,381,4.2,"8,965",18,"Thursday, February 10",0,"8,965",https://m.media-amazon.com/images/I/71HA7WNwomL._AC_UL320_.jpg,Wall clock
8,8,8,B0184B9110,"Ajanta Plastic Abstract Round Wall Clock (18.8 cm x 18.8 cm x 3.5 cm, Ivory)",Ajanta,0,0,0,165,3.7,"3,305",0,"Saturday, February 12",0,"3,305",https://m.media-amazon.com/images/I/718zI3dgr9L._AC_UL320_.jpg,Wall clock
9,9,9,B07VGHBH91,"Oreva AQ 6197 Plastic Wooden Look Designer Wall Clock (32.5 x 32.5 x 4.8 cm), Brown",Oreva,0,0,0,345,4.3,"7,681",13,"Saturday, February 12",0,"7,681",https://m.media-amazon.com/images/I/71NxVDmcHVL._AC_UL320_.jpg,Wall clock
10,10,10,B07281JH99,"Ajanta Plastic Abstract Quartz Wall Clock - Model No.957 (260mm x 260mm x 33mm, Ivory )",Ajanta,0,0,0,264,4.0,"5,071",2,"Thursday, February 10",0,"5,071",https://m.media-amazon.com/images/I/71uaNzIWmuL._AC_UL320_.jpg,Wall clock
11,11,11,B0716NTF52,"Ajanta Plastic Abstract Wall Clock (28 cm x 28 cm x 3.5 cm, White)",Ajanta,0,0,0,270,3.8,"3,531",0,"Saturday, February 12",0,"3,531",https://m.media-amazon.com/images/I/811-20UN+WL._AC_UL320_.jpg,Wall clock
12,12,12,B09Q1K6F1C,ZEPOLI - Wall Clock Silent Battery Operated Round Wall Clock Modern Simple Style Decor Clock Non-Ticking (Pastel Clock),ZEPOLI,0,0,0,595,4.5,46,46,"Monday, February 14",0,46,https://m.media-amazon.com/images/I/41mgX2yjEmL._AC_UL320_.jpg,Wall clock
13,13,13,B095BPBBWZ,STAR WORK - Black Wall Clock - 12 Inch Rose Gold Silent Non Ticking Quality Quartz Battery Operated Easy to Read Decorative Modern Design for Home/Office/Kitchen/Bedroom/Living Room,STAR,0,0,0,595,3.9,"3,039",40,"Monday, February 14",1,"3,039",https://m.media-amazon.com/images/I/71F8DIAlQZL._AC_UL320_.jpg,Wall clock
14,14,14,B09KCK82V5,"VOLANTIS 12 Inch Modern Stylish Plastic Wall Clock Non Ticking Silent Decorative Wall Clocks for Home, Living Room, Hall, Office, and Bedroom (Rose Gold & Black)",VOLANTIS,0,0,0,599,3.9,282,40,"Saturday, February 12",1,282,https://m.media-amazon.com/images/I/61yEVawz6eL._AC_UL320_.jpg,Wall clock
15,15,15,B09BB9Q36Q,"Starmoon Round Roman Wooden Clock, Wood Carving MDF Design Wall Clock, Perfect for Office, Classroom, Bedroom, Living Room, Kitchen, Restaurant,Hotel etc.(30 x 30 cm)",Starmoon,0,0,0,399,3.6,87,78,"Sunday, February 13",0,87,https://m.media-amazon.com/images/I/71+lG3mRNyL._AC_UL320_.jpg,Wall clock
16,16,16,B08FQYZQ51,"invision1 Plastic 3D Acrylic Tree Birds Coffee Cup On Jhula Design Wall Clock (Black, 69.9 x 41.9 x 1.3 cm)",invision1,0,0,0,695,4.2,"2,264",50,"Monday, February 14",1,"2,264",https://m.media-amazon.com/images/I/71L87JsXcYL._AC_UL320_.jpg,Wall clock
17,17,17,B093DF6VJ2,"kk craft Plastic Wall Clock (Brown , 35 x 24 x 5 cms)",kk,0,0,0,395,3.5,"1,432",74,"Saturday, February 12",0,"1,432",https://m.media-amazon.com/images/I/81hufWhO1DL._AC_UL320_.jpg,Wall clock
18,18,18,B08F2JK7PY,"PHOENIX Analog Quartz Official Designer Big Size Plastic Wall Clock for Home, Hall, Office (42 X 42 cms Colour-Wood and White)",PHOENIX,0,0,0,770,3.9,52,61,"Saturday, February 12",1,52,https://m.media-amazon.com/images/I/71MFEJZmzUL._AC_UL320_.jpg,Wall clock
19,19,19,B08B8QL6MF,"Circadian Ajanta Wall Clock for Home Living Room Office Wooden Ticking Decorative Wall Clocks for Home, Living Room, Hall, Office, and Bedroom (Multi Blue Colour Peacock) (15 IN*13 IN)",Circadian,0,0,0,589,3.8,859,61,"Sunday, February 13",1,859,https://m.media-amazon.com/images/I/7104rD7VfoL._AC_UL320_.jpg,Wall clock
20,20,20,B0833XRXVG,Vintage Clock Wooden Hand-Painted Large Wall Clock / 1 Year Warranty / Non-Ticking (Silent Clock) / Comes Packing,Vintage,1,0,0,"3,495",4.2,53,74,"Saturday, February 19",1,53,https://m.media-amazon.com/images/I/61AifN1cV9L._AC_UL320_.jpg,Wall clock
21,21,21,B09K6MGHCR,"NATUREL Plastic Round Shape Wall Clock with Black Frame - Vintage Flower, 24 cm x 24 cm x 3.5 cm (2041)",NATUREL,1,0,0,345,4.0,11,74,"Wednesday, February 16",0,11,https://m.media-amazon.com/images/I/81-XYs+ohpL._AC_UL320_.jpg,Wall clock
22,22,22,B091FLC9Z2,"The Next Decor Metal Heavy Analog Wall Clock with Silent Sweep Noiseless Technology Wall Decor for Home and Office (Matte Black, 15 Inch)",The,1,0,0,"1,799",4.3,17,10,"Sunday, February 13",1,17,https://m.media-amazon.com/images/I/61iFouHSjzL._AC_UL320_.jpg,Wall clock
23,23,23,B076VGMFRY,"Amazon Brand - Solimo 12 inch Plastic & Glass Wall Clock - Paramount Paneling (Silent Movement, Black Frame)",Amazon,1,0,0,699,4.3,561,42,"Thursday, February 10",1,561,https://m.media-amazon.com/images/I/A1b8JSbejjL._AC_UL320_.jpg,Wall clock
24,24,24,B07ZZ3CFNC,"Click n ship pendulum Plastic Wall Clock For Home size (36cm 27cm 7cm) (Brown, Small)",Click,0,0,0,405,3.8,"2,837",59,"Sunday, February 13",1,"2,837",https://m.media-amazon.com/images/I/61tjLo6osOS._AC_UL320_.jpg,Wall clock
25,25,25,B09MM97N5W,"Naturel Round Shaped Wall Clock with Glass for Home/Living Room/Bedroom/Kitchen/Office-Yellow Flower (Black Frame,24 cm x 24 cm x 3.5 cm)",Naturel,0,0,0,339,5.0,1,74,"Wednesday, February 16",0,1,https://m.media-amazon.com/images/I/714VRlKdV1L._AC_UL320_.jpg,Wall clock
26,26,26,B09LS28Y58,E DEALS Plastic Classic Blue and Grey Round Shaped Designer Silent Movement Wall Clock with Glass -PWC-706 (Multicolour),E,0,0,0,349,3.2,45,65,"Sunday, February 13",1,45,https://m.media-amazon.com/images/I/41Jtt1RkviL._SX425_.jpg,Wall clock
27,27,27,B09DNQLQGB,"RYLAN 12"" Silent Quartz Decorative Wall Clock Non-Ticking Classic Digital Clock Battery Operated Round Easy to Read Room/Home/Kitchen/Bedroom/Office/School",RYLAN,0,0,0,599,3.9,291,40,"Monday, February 14",1,291,https://m.media-amazon.com/images/I/61NzAJgsE8L._SX425_.jpg,Wall clock
28,28,28,B08V8H7DBD,"Webelkart Premium Plastic Designer Stones Lord Ganesha Wall Clock (Copper, 12 Inch)",Webelkart,0,0,0,299,3.7,"1,707",85,"Thursday, February 10",0,"1,707",https://m.media-amazon.com/images/I/81Dztt32ojL._AC_UL320_.jpg,Wall clock
29,29,29,B09LSGRLS5,NATUREL Plastic Round Shape Flower Designer Wall Clock with Black Frame - Pink (2021),NATUREL,0,0,0,345,4.2,33,74,"Wednesday, February 16",0,33,https://m.media-amazon.com/images/I/71NOZO98UjL._AC_UL320_.jpg,Wall clock
30,30,30,B07BDHRXTG,"Ajanta Plastic Abstract Round Wall Clock (2147, 20.5 cm x 20.5 cm x 3.5 cm, Red)",Ajanta,0,0,0,175,3.9,"1,601",0,"Thursday, February 10",0,"1,601",https://m.media-amazon.com/images/I/41yo23Ct1kL._AC_UL320_.jpg,Wall clock
31,31,31,B09F6HQV7K,Antique 10 inch Round Shape Wall Clock with Glass for Home Kitchen Living Room Bedroom Office Classic Roulette (Black Frame),Antique,1,0,0,339,4.8,6,77,"Wednesday, February 16",0,6,https://m.media-amazon.com/images/I/71K2Ig9QOAL._SX425_.jpg,Wall clock
32,32,32,B09M75WXNY,PMGCARES Plastic Modern Womaniya Designer 3D DIY Wall Clock Self Adhesive Wall Sticker of Large Size DIY Frameless (Black),PMGCARES,0,0,0,599,3.5,7,33,"Monday, February 14",1,7,https://m.media-amazon.com/images/I/61OkbUgnziL._AC_UL320_.jpg,Wall clock
33,33,33,B08XM414JJ,"Unique Craft 3D Wooden Antique Design Wall Clock, Brown, MD_UNQ-006",Unique,0,0,0,729,4.1,332,61,"Monday, February 14",1,332,https://m.media-amazon.com/images/I/81CIuUPf+1L._AC_UL320_.jpg,Wall clock
34,34,34,B08ZST7976,ARTINEST Brown Wall Clocks for Bedroom | Wall Clock for Living Room | Wall Clock for Stylish Wall | Designer Wooden Tree Bird Clocks for Home/Wall Décor 13 Inch,ARTINEST,0,0,0,350,1.0,1,73,"Sunday, February 13",1,1,https://m.media-amazon.com/images/I/412OiDxSSEL._SX425_.jpg,Wall clock
35,35,35,B09QL4SZNS,OREX Round Plastic Abstract Multicolor Wall Clock (30*30*4 cm) for Living Room||Home||School||Office(OC-058),OREX,0,0,0,499,0.0,0,50,"Wednesday, February 16",0,"₹499
₹999 Save ₹500 (50%)",https://m.media-amazon.com/images/I/81nDXXNAVEL._AC_UL320_.jpg,Wall clock
36,36,36,B09FPJFSZ9,"Dinine Craft ® Plastic Big Size Stylish Wall Clock (31Cm X 31Cm, Brown)",Dinine,0,0,0,499,3.8,148,62,"Saturday, February 12",1,148,https://m.media-amazon.com/images/I/71hDtw0Y39L._AC_UL320_.jpg,Wall clock
37,37,37,B095SFHNQ2,kk craft Plastic Designer Wall Clock (Brown),kk,0,0,0,395,3.4,51,70,"Sunday, February 13",0,51,https://m.media-amazon.com/images/I/815pPza4UPS._AC_UL320_.jpg,Wall clock
38,38,38,B09RHML8VY,SHILPKRAFT 20x20 cm Stylish Hanging Wall Clock with Round Shape Metal and Wooden Frame for Home / Living Room / Kitchen / Bedroom / Office / School (*Small*)(*No Glass*)( B11H ),,0,0,0,0,0.0,0,0,,0,,https://m.media-amazon.com/images/I/71eyJYYOWrL._AC_UL320_.jpg,Wall clock
39,39,39,B076VG6LF3,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Different Strokes (Step Movement, Black Frame)",Amazon,1,0,0,639,4.3,"3,848",36,"Friday, February 18",1,"3,848",https://m.media-amazon.com/images/I/81OFdoyB+yL._AC_UL320_.jpg,Wall clock
