,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,2,3,SMTFKFV9URTNYDWH,0,https://www.flipkart.com/adrenex-flipkart-anti-skid-yoga-mat-strap-blue-6-mm/p/itm8065a2e6be7cb?pid=SMTFKFV9URTNYDWH&lid=LSTSMTFKFV9URTNYDWH5QTQFU&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&spotlightTagId=BestsellerId_qoc%2Fs1h%2Ffco&srno=s_1_3&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFKFV9URTNYDWH.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,adrenex,₹349,63% off,1,"Adrenex by Flipkart Anti Skid Yoga Mat with Strap, Blue...",,4.2,"(99,112)",,Bestseller,Private,http://rukmini1.flixcart.com/image/300/300/k29bvrk0/sport-mat/d/w/h/anti-skid-yoga-mat-with-strap-6-60-adrenex-by-flipkart-180-original-imafhn7ffvpvcjge.jpeg,"SKU : SMTFKFV9URTNYDWH
Brand : adrenex",yoga mats
1,1,2,323,324,SMTG4TEJRC4YU4EE,Advertisement,https://www.flipkart.com/fabssy-6mm-anti-skid-eva-tpe-tearless-yoga-mat-transparent-bag-men-women-black-maroon-mm/p/itm2d106cc0f8630?pid=SMTG4TEJRC4YU4EE&lid=LSTSMTG4TEJRC4YU4EEMC0EGS&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_324&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8MVBQ%2BP7u7nxZe5ygMDR%2BFwRBaF6%2F%2B1dPIbsvwln11qeQ%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,,₹799,68% off,1,Fabssy 6mm Anti Skid EVA+TPE Tearless Yoga Mat with Tra...,,4.3,(409),,,0,http://rukmini1.flixcart.com/image/300/300/kvba7bk0/sport-mat/d/0/a/6mm-anti-skid-eva-tpe-tearless-yoga-mat-with-transparent-bag-for-original-imag88z4nbsjttze.jpeg,SKU : SMTG4TEJRC4YU4EE,yoga mats
2,2,3,355,356,SMTGBHVDXYUX8M3E,Advertisement,https://www.flipkart.com/quick-shel-100-eva-eco-friendly-mat-exercise-gym-mat-bag-black-6-mm-yoga/p/itm1fe90de976dd0?pid=SMTGBHVDXYUX8M3E&lid=LSTSMTGBHVDXYUX8M3EDKNOW8&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_356&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8Oca2DBGq7YfwNcNdGtVcvzMNfGYVIU2chPredvhaRMJg%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,,₹379,62% off,1,"Quick Shel 100%EVA Eco Friendly Mat, Exercise & Gym Mat...",,3.9,"(78,022)",,,0,http://rukmini1.flixcart.com/image/300/300/kzpw2vk0/sport-mat/f/c/z/100-eva-eco-friendly-mat-exercise-gym-mat-with-bag-6-24-quick-original-imagbnz4ktdgazee.jpeg,SKU : SMTGBHVDXYUX8M3E,yoga mats
3,3,4,33,34,SMTFKFV9XHE8EM6X,0,https://www.flipkart.com/adrenex-flipkart-premium-yoga-anti-slip-mat-purple-8-mm/p/itm2e025cb3f1822?pid=SMTFKFV9XHE8EM6X&lid=LSTSMTFKFV9XHE8EM6XSHJLXC&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&spotlightTagId=TrendingId_qoc%2Fs1h%2Ffco&srno=s_1_34&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFKFV9XHE8EM6X.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,adrenex,₹499,56% off,1,Adrenex by Flipkart Premium Yoga Anti Slip Mat Purple 8...,,4.1,"(12,022)",,Trending,Private,http://rukmini1.flixcart.com/image/300/300/k29bvrk0/sport-mat/m/6/x/anti-skid-yoga-mat-with-strap-8-60-adrenex-by-flipkart-180-original-imafhn7gwzhufjgm.jpeg,"SKU : SMTFKFV9XHE8EM6X
Brand : adrenex",yoga mats
4,4,5,3,4,SMTGFGGF7W7GFKAT,0,https://www.flipkart.com/quick-shel-premium-luxfoam-ultra-soft-yoga-mat-orange-4-5-mm/p/itm8c7e710334e3b?pid=SMTGFGGF7W7GFKAT&lid=LSTSMTGFGGF7W7GFKATFZYG0A&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_4&otracker=search&otracker1=search&iid=e007479b-ba3e-4fa5-8524-0acc9b355e91.SMTGFGGF7W7GFKAT.SEARCH&ssid=855v9ncvr40000001644997955352&qH=dfecfecfa9701de7,,₹309,61% off,1,Quick Shel Premium Luxfoam Ultra Soft Yoga Mat Orange 4...,,3.9,(474),,,0,http://rukmini1.flixcart.com/image/300/300/kmuxevk0/sport-mat/o/j/0/premium-luxfoam-ultra-soft-yoga-mat-4-5-24-quick-shel-74-original-imagfzfnq7phmqwy.jpeg,SKU : SMTGFGGF7W7GFKAT,yoga mats
5,5,6,6,7,SMTF5846HBTZZWVM,0,https://www.flipkart.com/quick-shel-100-eva-eco-friendly-purple-6-mm-yoga-mat/p/itm392009f178406?pid=SMTF5846HBTZZWVM&lid=LSTSMTF5846HBTZZWVMQJXYQC&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_7&otracker=search&otracker1=search&iid=e25ec869-0d4d-426e-90be-633a71cbac66.SMTF5846HBTZZWVM.SEARCH&ssid=t8mky9fe9s0000001644825269091&qH=dfecfecfa9701de7,,₹359,64% off,1,Quick Shel 100%EVA Eco Friendly Purple 6 mm Yoga Mat,,3.9,"(77,892)",,,0,http://rukmini1.flixcart.com/image/300/300/kzfvzww0/sport-mat/v/p/y/100-eva-eco-friendly-6-11-78-quick-shel-11-78-original-imagbgmcpjxftffj.jpeg,SKU : SMTF5846HBTZZWVM,yoga mats
6,6,7,6,7,SMTF5FMYZFEXQ6MA,0,https://www.flipkart.com/quick-shel-100-eva-eco-friendly-mat-exercise-gym-mat-bag-blue-6-mm-yoga/p/itm1fe90de976dd0?pid=SMTF5FMYZFEXQ6MA&lid=LSTSMTF5FMYZFEXQ6MALHAKEO&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_7&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTF5FMYZFEXQ6MA.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹349,65% off,1,"Quick Shel 100%EVA Eco Friendly Mat, Exercise & Gym Mat...",,3.9,"(78,022)",,,0,http://rukmini1.flixcart.com/image/300/300/kzhbfrk0/sport-mat/h/a/8/100-eva-eco-friendly-mat-exercise-gym-mat-with-bag-6-11-78-quick-original-imagbgmzzhegdsj5.jpeg,SKU : SMTF5FMYZFEXQ6MA,yoga mats
7,7,8,3,4,SMTFKYY3M5PHERXU,0,https://www.flipkart.com/quick-shel-blue-6mm-009-6-mm-yoga-mat/p/itm555ef39f204c4?pid=SMTFKYY3M5PHERXU&lid=LSTSMTFKYY3M5PHERXU8VZPHT&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_4&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFKYY3M5PHERXU.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹349,64% off,1,Quick Shel BLUE 6MM 009 Blue 6 mm Yoga Mat,,3.9,"(5,599)",,,0,http://rukmini1.flixcart.com/image/300/300/k1cgr680/sport-mat/r/x/u/blue-6mm-009-6-61-quick-shel-173-original-imafh53tuhzqbznw.jpeg,SKU : SMTFKYY3M5PHERXU,yoga mats
8,8,9,327,328,SMTG3FE3YTZGUS2W,Advertisement,https://www.flipkart.com/pro-well-301-tpe-anti-slip-exercise-mats-gym-workout-fitness-men-women-bag-blue-0-6-cm-mm-yoga-mat/p/itm11f1d3a4f2324?pid=SMTG3FE3YTZGUS2W&lid=LSTSMTG3FE3YTZGUS2W077VH2&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_328&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8PV4zyqu6szCTwxINA5aJruiy2PUAtK5bi9RtzzECXPqw%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,,"₹1,299",59% off,0,Pro.well 301 TPE Anti Slip Exercise Mats For Gym Workou...,,4.2,(56),,,0,http://rukmini1.flixcart.com/image/300/300/ksez24w0/sport-mat/8/n/0/301-tpe-anti-slip-exercise-mats-for-gym-workout-fitness-for-men-original-imag5yzgyyvtrayg.jpeg,SKU : SMTG3FE3YTZGUS2W,yoga mats
9,9,10,18,19,SMTFSP3P6UZX23SF,0,https://www.flipkart.com/rixon-global-yogamat-green-green-4mm-mm-yoga-mat/p/itm021e3bdbdec9c?pid=SMTFSP3P6UZX23SF&lid=LSTSMTFSP3P6UZX23SFETI9UU&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_19&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFSP3P6UZX23SF.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹320,67% off,1,Rixon Global yogamat-Green Green 4mm mm Yoga Mat,,3.5,"(1,829)",,,0,http://rukmini1.flixcart.com/image/300/300/l1dwknk0/sport-mat/z/m/g/yogamat-green-4mm-32-rixon-global-72-original-imagcyngzdsbynhn.jpeg,SKU : SMTFSP3P6UZX23SF,yoga mats
10,10,11,4,5,SMTF5846SG6U7V6J,0,https://www.flipkart.com/quick-shel-100-eva-eco-friendly-green-6-mm-yoga-mat/p/itm392009f178406?pid=SMTF5846SG6U7V6J&lid=LSTSMTF5846SG6U7V6JRZBYGP&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_5&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTF5846SG6U7V6J.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹349,65% off,1,Quick Shel 100%EVA Eco Friendly Green 6 mm Yoga Mat,,3.9,"(78,022)",,,0,http://rukmini1.flixcart.com/image/300/300/kzhbfrk0/sport-mat/m/j/e/100-eva-eco-friendly-6-11-78-quick-shel-11-78-original-imagbhj4zzmhygfy.jpeg,SKU : SMTF5846SG6U7V6J,yoga mats
11,11,12,343,344,SMTG8TPYEWQPJEX8,Advertisement,https://www.flipkart.com/fabssy-6mm-anti-skid-eva-yoga-mat-carry-bag-tearless-borders-men-women-6-mm/p/itmea111294b262a?pid=SMTG8TPYEWQPJEX8&lid=LSTSMTG8TPYEWQPJEX81RNUBV&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_344&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8ORdADf2Ydtl5GXHV7H5T%2B7M0HV8gq4kjnrfDmZmv9%2FAQ%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,,₹799,20% off,1,Fabssy 6mm Anti Skid EVA Yoga Mat with Carry Bag & Tear...,,4.3,(149),,,0,http://rukmini1.flixcart.com/image/300/300/l33cia80/sport-mat/k/w/m/6mm-anti-skid-eva-yoga-mat-with-carry-bag-tearless-borders-for-original-imageaeh2vhyg9g2.jpeg,SKU : SMTG8TPYEWQPJEX8,yoga mats
12,12,13,8,9,SMTF5846DARGJSTX,0,https://www.flipkart.com/quick-shel-100-eva-eco-friendly-red-6-mm-yoga-mat/p/itm392009f178406?pid=SMTF5846DARGJSTX&lid=LSTSMTF5846DARGJSTXYCNNWR&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_9&otracker=search&otracker1=search&iid=96191028-667c-4c8f-a440-ed45693d0553.SMTF5846DARGJSTX.SEARCH&ssid=461z2oqeuo0000001644914002118&qH=dfecfecfa9701de7,,₹339,66% off,1,Quick Shel 100%EVA Eco Friendly Red 6 mm Yoga Mat,,3.9,"(77,952)",,,0,http://rukmini1.flixcart.com/image/300/300/kzhbfrk0/sport-mat/h/p/b/100-eva-eco-friendly-6-11-78-quick-shel-11-78-original-imagbhgknnnphsha.jpeg,SKU : SMTF5846DARGJSTX,yoga mats
13,13,14,331,332,SMTFKFV9KUCTMK4C,Advertisement,https://www.flipkart.com/adrenex-flipkart-anti-skid-yoga-mat-strap-purple-6-mm/p/itm8065a2e6be7cb?pid=SMTFKFV9KUCTMK4C&lid=LSTSMTFKFV9KUCTMK4CFAAUQC&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_332&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8N6ChZpiIcwH%2BGlL%2FcfmWOt9FZFiXiHog4KLtSVsgk%2FMw%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,adrenex,₹349,63% off,1,"Adrenex by Flipkart Anti Skid Yoga Mat with Strap, Purp...",,4.2,"(99,112)",,,Private,http://rukmini1.flixcart.com/image/300/300/k29bvrk0/sport-mat/m/6/x/anti-skid-yoga-mat-with-strap-8-60-adrenex-by-flipkart-180-original-imafhn7gwzhufjgm.jpeg,"SKU : SMTFKFV9KUCTMK4C
Brand : adrenex",yoga mats
14,14,15,8,9,SMTFUDS3HGKPS2TN,0,https://www.flipkart.com/trust-model-317-tpe-exercise-mats-gym-workout-fitness-men-women-cover-bag-6-mm-yoga-mat/p/itmc843554e3e051?pid=SMTFUDS3HGKPS2TN&lid=LSTSMTFUDS3HGKPS2TN2JYIWF&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_9&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFUDS3HGKPS2TN.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,"₹1,299",67% off,1,Dr Trust Model 317 TPE Exercise Mats for Gym Workout Fi...,,4.3,"(1,991)",,,0,http://rukmini1.flixcart.com/image/300/300/kfyasnk0/sport-mat/2/t/n/model-317-tpe-exercise-mats-for-gym-workout-fitness-for-men-original-imafwas8z6cksexk.jpeg,SKU : SMTFUDS3HGKPS2TN,yoga mats
15,15,16,25,26,SMTFXD9DPZPKNWGX,0,https://www.flipkart.com/ligera-ecofriendly-exercise-gym-yoga-mats-4mm-pink-men-women-4-mm-mat/p/itm3c9ef578db46b?pid=SMTFXD9DPZPKNWGX&lid=LSTSMTFXD9DPZPKNWGXUONG2T&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_26&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTFXD9DPZPKNWGX.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹325,67% off,1,Ligera EcoFriendly Exercise Gym & Yoga Mats 4mm Pink Fo...,,3.8,(442),,,0,http://rukmini1.flixcart.com/image/300/300/khcb7gw0-0/sport-mat/m/a/w/ecofriendly-exercise-gym-yoga-mats-4mm-pink-for-men-women-4-mm-original-imafxd6pmqznbhyh.jpeg,SKU : SMTFXD9DPZPKNWGX,yoga mats
16,16,17,335,336,SMTG4J3GDTZVNHZQ,Advertisement,https://www.flipkart.com/yogarise-6mm-yoga-mat-shoulder-strap-bag-mats-home-gym-outdoor-6-mm/p/itmd7d6ecf13767b?pid=SMTG4J3GDTZVNHZQ&lid=LSTSMTG4J3GDTZVNHZQLLHAU3&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_9_336&otracker=search&otracker1=search&iid=en_h9N6OqCEH%2BMS%2FGOt21PdmIf%2Faf%2BqImkg83uBbCgkZ8OMQpudEfQyp4xyzyQPEJYJovTT%2BA61F5MneGkSPPUO3Q%3D%3D&ssid=n7ucqsbgg00000001645023822643&qH=dfecfecfa9701de7,,₹479,68% off,1,Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga ma...,,4,(483),,,0,http://rukmini1.flixcart.com/image/300/300/kqidx8w0/sport-mat/g/v/t/6mm-yoga-mat-with-shoulder-strap-bag-yoga-mats-for-home-gym-original-imag4gbfnfdaz7ad.jpeg,SKU : SMTG4J3GDTZVNHZQ,yoga mats
17,17,18,13,14,SMTFSP3PYYNH2HNG,0,https://www.flipkart.com/rixon-global-yogamat-blue-4mm-mm-yoga-mat/p/itm3cf0b00055119?pid=SMTFSP3PYYNH2HNG&lid=LSTSMTFSP3PYYNH2HNGQQGGGM&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_14&otracker=search&otracker1=search&iid=e007479b-ba3e-4fa5-8524-0acc9b355e91.SMTFSP3PYYNH2HNG.SEARCH&ssid=855v9ncvr40000001644997955352&qH=dfecfecfa9701de7,,₹344,69% off,1,Rixon Global yogamat-blue 4mm mm Yoga Mat,,3.6,"(4,846)",,,0,http://rukmini1.flixcart.com/image/300/300/kapoo7k0/sport-mat/h/g/j/eco-friendly-non-slip-5mm-na-61-alaska-173-original-imafs844qrxrbgyc.jpeg,SKU : SMTFSP3PYYNH2HNG,yoga mats
18,18,19,28,29,SMTGFAKZBXMZ4VDH,0,https://www.flipkart.com/hrx-anti-skid-eva-strap-blue-red-6-mm-yoga-mat/p/itm034e2abdc2ba2?pid=SMTGFAKZBXMZ4VDH&lid=LSTSMTGFAKZBXMZ4VDHJU0O3N&marketplace=FLIPKART&q=yoga+mat&store=qoc%2Fs1h%2Ffco&srno=s_1_29&otracker=search&otracker1=search&iid=0eb05e4d-f322-44f2-bdef-1d7c1f5fef18.SMTGFAKZBXMZ4VDH.SEARCH&ssid=izr6k0hatc0000001645023803857&qH=dfecfecfa9701de7,,₹699,41% off,1,"HRX Anti Skid EVA with Strap Blue, Red 6 mm Yoga Mat",,4.3,"(2,512)",,,0,http://rukmini1.flixcart.com/image/300/300/kp036vk0/sport-mat/2/c/n/dual-tone-anti-skid-yoga-mat-with-inbuilt-strap-6-24-hrx-72-original-imag3bzewznxgj5f.jpeg,SKU : SMTGFAKZBXMZ4VDH,yoga mats
